CD, CTs in Cluster 
1,1004900 1005501 1006500 1005900 
1,1031703 1031704 1001300 1001502 1002100 1000100 
1,1005502 1004300 1003601 
1,1003900 1003300 1003100 
1,1001200 1001402 1003001 1001001 
1,1004700 1004500 1004100 
1,1031900 1000900 1000700 1000500 
1,1001501 1002900 1002500 
1,1001800 1001401 1001600 
1,1000600 1000800 1002700 1000201 
2,1005600 1005200 1006100 1005700 
2,1005000 1006400 1006800 1007400 
2,1002202 1003200 1004000 1003400 
2,1007000 1007200 1006600 
2,1002601 1003002 1003602 1003800 
2,1002000 1002400 1002602 1002800 
2,1002201 1001002 1000202 
2,1004200 1004800 
3,1009900 1011500 1011100 1010100 
3,1010900 1010300 1009500 1009100 
3,1013300 1012700 1012100 1012900 1011700 
3,1003700 1006700 1007300 1007700 1008300 
3,1008900 1008100 1006300 1007100 
3,1014500 1013900 1013500 
3,1005800 1005400 1008700 
3,1006900 1007500 1007900 
3,1011900 1011300 
3,1009700 1009300 
4,1009800 1009000 1008800 1007800 
4,1015002 1014801 1014000 1012800 
4,1013100 1010400 1009600 1008200 1012500 
4,1011203 1010000 1009200 1008000 
4,1011201 1011401 1012200 1012000 1013700 
4,1006200 1006000 1004400 
4,1014802 1015801 1016001 1016002 
4,1008601 1008602 1008603 
4,1007600 1008400 1009400 
4,1015001 1014200 1013000 
4,1011402 1011202 1010200 
5,1011000 1010602 1011800 1012400 
5,1013400 1013800 1013600 1014601 1014401 
5,1015601 1015400 1014602 1014402 1015802 1015200 
5,1011600 1012600 1013200 
5,1023802 1023801 
5,1010800 1010601 
6,1019500 1019100 1018700 1018300 
6,1014900 1015100 1015500 1014700 
6,1014300 1015300 1015700 
6,1018100 1017900 1017700 
6,1017500 1017300 1016900 
6,1015900 1016100 1016500 
6,1017100 1016700 1016300 
7,1020901 1021900 1022301 1022500 1022302 
7,1020101 1019900 1019300 1018900 1018500 
7,1023300 1023700 1024100 1024500 1024700 1023900 
7,1021100 1019701 1020701 
7,1022700 1022900 
7,1020500 1020300 
8,1018000 1018800 1017800 1019400 1017000 
8,2004100 2004300 2007300 2003500 2003100 2003700 2008500 
8,2002701 2002500 2002300 2005100 
8,2003300 2003900 2002702 
8,1016400 1015602 1016200 
8,1016600 1016800 1017200 
8,2019500 2006300 2018900 
8,1024000 1019200 1024200 
8,1018200 1017402 
9,1019800 1020800 1022600 1021500 1019600 
9,1023000 1023200 1023400 1023502 
9,1020600 1021000 1023600 1024302 
9,1022102 1022800 1021200 1021400 
9,1020102 1021800 1022000 1022200 1019000 
9,1025700 1022400 1020000 1018400 
9,1025900 1023100 1023501 
9,1019702 1021600 1018600 1017401 
9,1021703 1021303 
10,1025100 1025300 1026100 1027100 1027900 
10,1027700 1026900 1026300 1025500 1026500 1026700 
10,1031100 1028300 1028500 
10,1029700 1028700 1029100 
10,1029900 1030300 1029300 1030700 1029500 1030900 
10,1027500 1027300 1028100 
10,1024301 1024900 
11,2030100 2030701 2033500 2033700 
11,2029500 2029700 2029302 2029301 
11,2027900 2028100 2040900 2041100 
11,2028500 2028700 2028300 2028900 
11,2043500 2044901 2044902 
11,2044200 2041400 2043400 
11,2030900 2032300 2031900 
11,2034300 2034500 2035100 
11,2045102 2045101 2041800 
11,2042500 2041500 2041300 
11,2041900 2042100 2042300 
11,2043100 2042901 2042902 
12,2045800 2038600 2038800 2039600 
12,2043000 2042400 2042200 2042000 
12,2034200 2037200 2038000 2038200 
12,2035000 2036400 2036800 2037000 
12,2039400 2039200 2037800 2039000 
12,2044800 2042800 2042600 2048400 
12,2046000 2046202 2046201 2030200 
12,2040400 2039800 2040600 2040800 
12,2035600 2035800 
12,2044400 2043600 
12,2037400 2037600 
